Informazioni cronologiche,Sesso:,Anno di nascita:,Sei studente/studentessa:,Sei studente/studentessa:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:,Scegli il profilo che preferisci:
27/12/2020 15.58.05,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 16.05.11,F,2001,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 3,Profilo 3,Profilo 2,Profilo 3,Profilo 2,Profilo 3,Profilo 1,Profilo 2,Profilo 2
27/12/2020 16.48.31,F,1998,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 1,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.02.38,F,2001,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.04.51,F,1998,pendolare,triennale,Profilo 1,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.11.30,F,1999,pendolare,triennale,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 2,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.13.37,F,2001,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.13.46,M,2001,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 2,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.21.16,F,1999,fuorisede entro 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 2,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.36.09,M,1995,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.39.34,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 17.51.31,F,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
27/12/2020 17.59.51,F,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 3,Profilo 2,Profilo 1,Profilo 2,Profilo 3,Profilo 2,Profilo 1,Profilo 2
27/12/2020 18.03.13,F,1997,pendolare,magistrale,Profilo 1,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3
27/12/2020 18.04.07,F,1999,pendolare,triennale,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 2,Profilo 1
27/12/2020 18.08.10,F,1997,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 18.11.28,F,1997,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 3,Profilo 3,Profilo 2,Profilo 1
27/12/2020 18.12.20,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 3,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 18.16.20,F,1999,pendolare,triennale,Profilo 1,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 1,Profilo 1,Profilo 3,Profilo 1
27/12/2020 18.16.56,F,1996,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
27/12/2020 18.18.30,F,2000,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 2
27/12/2020 18.20.16,F,2001,fuorisede oltre 300km dalla città in cui studi,triennale,Profilo 1,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
27/12/2020 18.22.19,M,1996,fuorisede oltre 300km dalla città in cui studi,magistrale,Profilo 1,Profilo 1,Profilo 2,Profilo 2,Profilo 3,Profilo 3,Profilo 2,Profilo 2,Profilo 1
27/12/2020 18.22.27,F,1999,pendolare,triennale,Profilo 2,Profilo 2,Profilo 1,Profilo 2,Profilo 1,Profilo 3,Profilo 3,Profilo 2,Profilo 1
27/12/2020 18.31.27,F,1997,fuorisede entro 300km dalla città in cui studi,magistrale,Profilo 2,Profilo 1,Profilo 1,Profilo 2,Profilo 3,Profilo 3,Profilo 1,Profilo 2,Profilo 1
