"ID","QES","ALT","BLOCK","TIPOLOGIA","POSIZIONE","INQUILINI","SERVIZI","PREZZO","SESSO","ANNO","FUORISEDE_PENDOLARE","LAUREA","RES"
1,1,1,1,"singola","> 1.5km","2","lav. mic.","350","F",1997,"< 300km","magistrale",1
1,1,2,1,"doppia","500m - 1.5km","3-4","balconcino","350","F",1997,"< 300km","magistrale",0
1,1,3,1,"singola","> 1.5km","5-6","lav. mic.","450","F",1997,"< 300km","magistrale",0
1,2,1,1,"singola","< 500m","2","balconcino","350","F",1997,"< 300km","magistrale",1
1,2,2,1,"doppia","500m - 1.5km","3-4","lav. mic.","450","F",1997,"< 300km","magistrale",0
1,2,3,1,"singola","> 1.5km","5-6","soggiorno","250","F",1997,"< 300km","magistrale",0
1,3,1,1,"doppia","< 500m","5-6","lav. mic.","350","F",1997,"< 300km","magistrale",1
1,3,2,1,"doppia","500m - 1.5km","5-6","balconcino","250","F",1997,"< 300km","magistrale",0
1,3,3,1,"doppia","< 500m","5-6","balconcino","450","F",1997,"< 300km","magistrale",0
1,4,1,1,"singola","500m - 1.5km","3-4","balconcino","350","F",1997,"< 300km","magistrale",1
1,4,2,1,"singola","500m - 1.5km","2","lav. mic.","250","F",1997,"< 300km","magistrale",0
1,4,3,1,"singola","500m - 1.5km","3-4","lav. mic.","450","F",1997,"< 300km","magistrale",0
1,5,1,1,"doppia","500m - 1.5km","2","lav. mic.","250","F",1997,"< 300km","magistrale",0
1,5,2,1,"singola","> 1.5km","3-4","soggiorno","350","F",1997,"< 300km","magistrale",0
1,5,3,1,"singola","< 500m","2","soggiorno","250","F",1997,"< 300km","magistrale",1
1,6,1,1,"singola","> 1.5km","5-6","lav. mic.","450","F",1997,"< 300km","magistrale",0
1,6,2,1,"doppia","> 1.5km","5-6","soggiorno","250","F",1997,"< 300km","magistrale",0
1,6,3,1,"singola","500m - 1.5km","5-6","balconcino","250","F",1997,"< 300km","magistrale",1
1,7,1,1,"singola","> 1.5km","5-6","soggiorno","250","F",1997,"< 300km","magistrale",1
1,7,2,1,"singola","> 1.5km","2","balconcino","450","F",1997,"< 300km","magistrale",0
1,7,3,1,"doppia","> 1.5km","3-4","balconcino","250","F",1997,"< 300km","magistrale",0
1,8,1,1,"doppia","> 1.5km","2","balconcino","450","F",1997,"< 300km","magistrale",0
1,8,2,1,"singola","< 500m","3-4","lav. mic.","250","F",1997,"< 300km","magistrale",1
1,8,3,1,"doppia","500m - 1.5km","2","soggiorno","450","F",1997,"< 300km","magistrale",0
1,9,1,1,"singola","< 500m","2","soggiorno","250","F",1997,"< 300km","magistrale",1
1,9,2,1,"singola","500m - 1.5km","5-6","soggiorno","350","F",1997,"< 300km","magistrale",0
1,9,3,1,"doppia","500m - 1.5km","5-6","soggiorno","350","F",1997,"< 300km","magistrale",0
2,10,1,1,"singola","> 1.5km","2","lav. mic.","350","F",2001,"< 300km","triennale",0
2,10,2,1,"doppia","500m - 1.5km","3-4","balconcino","350","F",2001,"< 300km","triennale",0
2,10,3,1,"singola","> 1.5km","5-6","lav. mic.","450","F",2001,"< 300km","triennale",1
2,11,1,1,"singola","< 500m","2","balconcino","350","F",2001,"< 300km","triennale",0
2,11,2,1,"doppia","500m - 1.5km","3-4","lav. mic.","450","F",2001,"< 300km","triennale",0
2,11,3,1,"singola","> 1.5km","5-6","soggiorno","250","F",2001,"< 300km","triennale",1
2,12,1,1,"doppia","< 500m","5-6","lav. mic.","350","F",2001,"< 300km","triennale",0
2,12,2,1,"doppia","500m - 1.5km","5-6","balconcino","250","F",2001,"< 300km","triennale",1
2,12,3,1,"doppia","< 500m","5-6","balconcino","450","F",2001,"< 300km","triennale",0
2,13,1,1,"singola","500m - 1.5km","3-4","balconcino","350","F",2001,"< 300km","triennale",0
2,13,2,1,"singola","500m - 1.5km","2","lav. mic.","250","F",2001,"< 300km","triennale",0
2,13,3,1,"singola","500m - 1.5km","3-4","lav. mic.","450","F",2001,"< 300km","triennale",1
2,14,1,1,"doppia","500m - 1.5km","2","lav. mic.","250","F",2001,"< 300km","triennale",0
2,14,2,1,"singola","> 1.5km","3-4","soggiorno","350","F",2001,"< 300km","triennale",1
2,14,3,1,"singola","< 500m","2","soggiorno","250","F",2001,"< 300km","triennale",0
2,15,1,1,"singola","> 1.5km","5-6","lav. mic.","450","F",2001,"< 300km","triennale",0
